database,geography
Amnesty International Archives 1961-1991,Africa
"Apartheid South Africa, 1948 - 1994",Africa
"Confidential Print [UK]: Africa, 1834-1967",Africa
"Frontier Life: Borderland and Colonial Encounters, 1650-1920",Africa
East African Newspapers 1943-2017,Africa
"Middle Eastern and North African Newspapers, 1870-2019",Africa
Daily Observer Digital Archive 1981-2016,Africa
Africa Commons,Africa
Life  (Magazine Archive) 1883-2020,Africa
"Europe and Africa: Commerce, Christianity, Civilization, and Conquest 18th-20th cent.",Africa
"Economist Intelligence Unit Country Reports Archive, 1952-1995",Africa
ProQuest Dissertations & Theses Global‎  1606-2025,Africa
HathiTrust Digital Library 19th-20th cent.,Africa
"African American Communities, 1863-1986",North America
America in World War II:  Oral Histories and Personal Accounts,North America
"American History, 1493-1945",North America
"Indigenous Histories and Cultures in North America, 17th-mid-20th cent",North America
"Indigenous Newspapers in North America, 1826-2016",North America
"American West, early 18th-mid-20th cent",North America
"Apartheid South Africa, 1948 - 1994",North America
Broadcasting America 1910s-1986,North America
"Children’s Literature and Culture, 1820s-1920s",North America
"China, America and The Pacific: Trade & Cultural Exchange [early 18th-early 20th cent]",North America
"Colonial America, 1606-1822",North America
"Confidential Print [UK]: North America, 1824-1961",North America
Early America Sources 1500-1900,North America
"Eighteenth Century Journals, c. 1685-1835.",North America
"Everyday Life and Women In America, c1800-1920",North America
"Frontier Life: Borderland and Colonial Encounters, 1650-1920",North America
"J. Walter Thompson: Advertising America, 1900-2000",North America
"Jewish Life in America, c 1654-1954",North America
"Market Research & American Business, 1935-1965",North America
"Medical Services and Warfare, 1850-1949",North America
"Nixon Years, 1969-1974",North America
"Popular Culture in Britain and America, 1950-1975",North America
"Popular Medicine in America, 1800-1900 ",North America
"Race Relations in America, 1943-1970 ",North America
"Trade Catalogues and the American Home, 1850-1950 ",North America
"Virginia Company Archives, 1590-1790 ",North America
"Historical Statistics of the US, Millennial Edition 1949-21st cent.",North America
Canadiana [open access] 1500-2000,North America
El Caribe Digital Archive 1956-2021,North America
El Mundo Digital Archive 1919-1990,North America
Making of America (19th Century in Print) - Cornell,North America
C-SPAN Video Library [open access] 1979-2025,North America
Digital Public Library of America,North America
Digital Virginias  [open access] 16th-21st cent,North America
Forbes (Magazine Archive) 1917-2000,North America
National Review  (Magazine Archive) 1955-2020,North America
Architectural Digest  (Magazine Archive) 1922-2011,North America
"American Fiction, 1774-1920",North America
American Historical Periodicals from the American Antiquarian Society 1681-1926,North America
"City and Business Directories: Virginia, 1801-1929  [Archives Unbound]",North America
"City and Business Directories: West Virginia, 1839-1929  [Archives Unbound]",North America
Environmental History 1870-1993,North America
Indigenous Peoples of North America 1665-1988,North America
Mountain People: Life and Culture in Appalachia [in Archives Unbound] 1700-1950,North America
Nineteenth Century U.S. Newspapers 1800-1899,North America
Political Extremism and Radicalism 1776-2017,North America
"Public Health Archives: Public Health in Modern America, 1890-1970",North America
"Sabin Americana: History of the Americas, 1500-1926",North America
The Economist Historical Archive 1843-2020,North America
Canada Supreme Court Reports 1888-1969,North America
Civil Rights and Social Justice 1606-2025,North America
Early American Case Law 1671-1926,North America
Gun Regulation and Legislation in America 1750-2025,North America
History of Supreme Court Nominations 1791-2025,North America
John F. Kennedy Assassination Collection 20th cent.,North America
Judges and the Judiciary: Exploring America's Court System (Formerly known as Congress and the Courts) 1658-2025,North America
Labor and Employment: The American Worker 1798-2025,North America
Pentagon Papers 1940-1968,North America
Reports of US Presidential Commissions and Other Advisory Bodies 1775-2025,North America
"Slavery in America and the World: History, Culture & Law 1656-2025",North America
US Congressional Documents 1789-2025,North America
US Congressional Serial Set 1789-2023,North America
"US Federal Agency Documents, Decisions, and Appeals 1789-2025",North America
US Federal Legislative History Library 1890-2025,North America
US Presidential Library 1789-2025,North America
US Treaties and Agreements Library 1686-2025,North America
"Fire Insurance Maps Online [FIMo]: Virginia, DC only 19th-20th cent.",North America
HistoryMakers Digital Archive [open access] 20th-21st cent.,North America
Chronicling America: Historic American Newspapers [open access] 1756-1963,North America
American Archive of Public Broadcasting [open access] 20th-21st Cent,North America
Asian Life in America 1869-2025,North America
Black Life in America 1783-2025,North America
Hispanic Life in America 1845-2025,North America
American History in Video 20th-21st cent,North America
"American Periodicals, 1740-1940",North America
Atlanta Constitution 1868-1985,North America
Atlanta Daily World 1931-2010,North America
Baltimore Afro-American 1893-1988,North America
Black Freedom Struggle in the United States: A Selection of Primary Sources 1790-2020,North America
Black Studies Center 1893-2025,North America
Chicago Defender,North America
Chicago Tribune,North America
Christian Science Monitor,North America
Cleveland Call & Post,North America
"Colonial State Papers, 1574-1757",North America
Early English Books Online (EEBO)  [in Early Modern Books] 1470-1700,North America
Los Angeles Sentinel 1934-2025,North America
Los Angeles Times 1881-2001,North America
Meet the Press 1947-2025,North America
NAACP Papers  [Civil Rights and the Black Freedom Struggle] 1901-1999,North America
New York Amsterdam News 1922-1993,North America
New York Times 1851-2021,North America
Norfolk Journal and Guide 1916-2003,North America
"Entertainment Industry Magazine Archive (EIMA), 1880-2015",North America
Philadelphia Tribune 1912-2010,North America
Pittsburgh Courier 1911-1950,North America
"Rolling Stone Archive, 1967-2021",North America
US Congressional Serial Set [ProQuest Congressional] 1790-2020,North America
Wall Street Journal 1889-2013,North America
Washington Post 1877-2008,North America
"Women and Social Movements in the United States, 1600-2000",North America
African American Newspapers 1827-1995 [in America's Historical Newspapers],North America
African Americans and Jim Crow: Repression and Protest  1883-1922,North America
African Americans and Reconstruction: Hope and Struggle 1865-1883,North America
America's Historical Imprints 1640-1900,North America
"Richmond Times-Dispatch, 1903-2025",North America
"Roanoke Times, 1889-2025",North America
"Virginian-Pilot, 1865-2003; 2018-",North America
"American Prison Newspapers, 1800-2020:",North America
Independent Voices 20th-21st cent.,North America
Caribbean Newspaper Digital Collection  [open access] 1774-2024,North America
Making of America (19th Century in Print) - Univ of Michigan  [open access],North America
"Foreign Relations of the United States, 1861-1960  [open access]",North America
Presidential Speeches  [open access] 1732-2025,North America
Civil War PhotoSleuth   [open access],North America
VT ImageBase,North America
ImageBase from VT Libraries Special Collections and University Archives,North America
"American Journeys (including many ""Draper Manuscripts"" documents)  [open access] 1000-1844",North America
American Congress Digital Archives Portal  [open access] 17th-21st cent.,North America
Documenting the American South (DocSouth)  [open access] 16th-21st cent.,North America
Document Bank of Virginia,North America
Virginia Memory,North America
"Indigenous Histories and Cultures in North America, 17th-mid-20th cent",Central & South America
Colonial Carribean 1830-1870,Central & South America
"Confidential Print [UK]: Latin America, 1839-1969",Central & South America
Early America Sources 1500-1900,Central & South America
Mexico in History 1500-1920,Central & South America
"Socialism on Film, early 20th-1980",Central & South America
"Independent and Revolutionary Mexican Newspapers, 1807-1899",Central & South America
Brazilian and Portuguese History and Culture 1500-1930,Central & South America
"Sabin Americana: History of the Americas, 1500-1926",Central & South America
HNDM: Hemeroteca Nacional Digital de México [National Digital Newspaper Library of Mexico]  [open access] 1917-2025,Central & South America
"Children’s Literature and Culture, 1820s-1920s",United Kingdom & Europe
"Defining Gender, 1450-1910, Online",United Kingdom & Europe
"Early Modern England: Society, Culture and Everyday Life, 1500-1700",United Kingdom & Europe
"Eighteenth Century Drama: Censorship and the Stage, 1737-1824",United Kingdom & Europe
"Eighteenth Century Journals, c. 1685-1835.",United Kingdom & Europe
Literary Manuscripts: 17th and 18th Century Poetry [Berg],United Kingdom & Europe
Literary Manuscripts: 17th and 18th Century Poetry [Leeds],United Kingdom & Europe
"Literary Print Culture: The Stationers' Company Archive, 1554-1984 ",United Kingdom & Europe
"London Low Life: Street culture, Social Reform, and the Victorian Underworld, 19th cent",United Kingdom & Europe
"Macmillan Cabinet Papers, 1957-1963",United Kingdom & Europe
"Mass Observation Online, 1937 - 1967",United Kingdom & Europe
"Mass Observation Project, 1980-1990s",United Kingdom & Europe
"Medical Services and Warfare, 1850-1949",United Kingdom & Europe
"Medieval Family Life, c1400-1490",United Kingdom & Europe
"Nineteenth Century Literary Society: The John Murray Publishing Archive, c. 1768-1900",United Kingdom & Europe
"Perdita Manuscripts, 1500-1700",United Kingdom & Europe
"Popular Culture in Britain and America, 1950-1975",United Kingdom & Europe
"Poverty, Philanthropy and Social Conditions in Victorian Britain, 1800-1900",United Kingdom & Europe
"Romanticism: Life, Literature and Landscape 18th-20th cent",United Kingdom & Europe
Royal Shakespere Company Archives 1889-2013,United Kingdom & Europe
"Shakespeare's Globe Archive: Theaters, Players & Performances, 1997-2016",United Kingdom & Europe
"Socialism on Film, early 20th-1980",United Kingdom & Europe
The Grand Tour 1550-1850,United Kingdom & Europe
"Victorian Popular Culture, c 1779-1930.",United Kingdom & Europe
"Virginia Company Archives, 1590-1790 ",United Kingdom & Europe
"Women in the [UK] National Archives, 1903-1962",United Kingdom & Europe
Canadiana [open access] 1500-2000,United Kingdom & Europe
"Imperial Russian Newspapers, 1782-1917",United Kingdom & Europe
Local and Independent Ukrainian Newspapers  1989-2001,United Kingdom & Europe
Soviet-Era Ukrainian Newspapers 1899-1939,United Kingdom & Europe
Current Digest of the Russian Press (1949- ) in English,United Kingdom & Europe
Izvestiia Digital Archive (1917- ) in Russian,United Kingdom & Europe
Post-Perestroika Newspapers Digital Archive 1984-2022,United Kingdom & Europe
Pravda Digital Archive (1912- ) in Russian,United Kingdom & Europe
Rossiiskaia istoriia  (2000- ) in Russian,United Kingdom & Europe
Voprosy istorii (1945-2019) in Russian,United Kingdom & Europe
Europeana portal [open access] 1680-1989,United Kingdom & Europe
Europeana: Newspapers [open access] 1680-1989,United Kingdom & Europe
[London] Sunday Times Historical Archive 1822-2021,United Kingdom & Europe
[London] Times Digital Archive 1822-2016,United Kingdom & Europe
[London] Times Literary Supplement Historical Archive 1902-2014,United Kingdom & Europe
Brazilian and Portuguese History and Culture 1500-1930,United Kingdom & Europe
British Library Newspapers 18th-20th cent.,United Kingdom & Europe
Eighteenth Century Collections Online,United Kingdom & Europe
"Europe and Africa: Commerce, Christianity, Civilization, and Conquest 18th-20th cent.",United Kingdom & Europe
Financial Times Historical Archive 1888-2021,United Kingdom & Europe
"Illustrated London News Historical Archive, 1842-2003",United Kingdom & Europe
Political Extremism and Radicalism 1776-2017,United Kingdom & Europe
Seventeenth and Eighteenth Century Burney Newspapers Collection 1604-1804,United Kingdom & Europe
Seventeenth and Eighteenth Century Nichols Newspapers Collection 1672-1738,United Kingdom & Europe
English Reports 1207-1916,United Kingdom & Europe
"British Periodicals, 1681-1939",United Kingdom & Europe
"Documents on British Policy Overseas, 1898-1990",United Kingdom & Europe
Early English Books Online (EEBO)  [in Early Modern Books] 1470-1700,United Kingdom & Europe
Early European Books  [in Early Modern Books] 1473-1700,United Kingdom & Europe
Guardian and The Observer [London] 1791-2003,United Kingdom & Europe
"Entertainment Industry Magazine Archive (EIMA), 1880-2015",United Kingdom & Europe
BBC Monitoring: Summary of World Broadcasts 1939-2001,United Kingdom & Europe
Independent Voices 20th-21st cent.,United Kingdom & Europe
Amnesty International Archives 1961-1991,Western & Central Asia
"Confidential Print [UK]: Middle East, 1839-1970",Western & Central Asia
"East India Company [UK], 1599-1947   ",Western & Central Asia
"Foreign Office [UK] Files for India, Pakistan and Afghanistan, 1947-1980",Western & Central Asia
"Foreign Office [UK] Files for the Middle East, 1971-1981",Western & Central Asia
"Middle Eastern and North African Newspapers, 1870-2019",Western & Central Asia
Life  (Magazine Archive) 1883-2020,Western & Central Asia
"Economist Intelligence Unit Country Reports Archive, 1952-1995",Western & Central Asia
ProQuest Dissertations & Theses Global‎  1606-2025,Western & Central Asia
HathiTrust Digital Library 19th-20th cent.,Western & Central Asia
Amnesty International Archives 1961-1991,"East Asia, South Asia & Pacific"
"China, America and The Pacific: Trade & Cultural Exchange [early 18th-early 20th cent]","East Asia, South Asia & Pacific"
"China: Culture and Society, c1750-1929","East Asia, South Asia & Pacific"
"China: Trade, Politics and Culture, 1793-1980","East Asia, South Asia & Pacific"
Conflict in Indochina 1959-1979,"East Asia, South Asia & Pacific"
"East India Company [UK], 1599-1947   ","East Asia, South Asia & Pacific"
"Foreign Office [UK] Files for China, 1919-1980","East Asia, South Asia & Pacific"
"Foreign Office [UK] Files for Japan, 1919-1952 ","East Asia, South Asia & Pacific"
"Foreign Office [UK] Files for South East Asia, 1963-1980","East Asia, South Asia & Pacific"
"Frontier Life: Borderland and Colonial Encounters, 1650-1920","East Asia, South Asia & Pacific"
"India, Raj & Empire, 1615-1947 ","East Asia, South Asia & Pacific"
"Meiji Japan, 1838-1925","East Asia, South Asia & Pacific"
"Socialism on Film, early 20th-1980","East Asia, South Asia & Pacific"
"Late Qing and Republican-Era Chinese Newspapers, 1911-1949","East Asia, South Asia & Pacific"
South Asian Newspapers,"East Asia, South Asia & Pacific"
South Asia Open Archives (SAOA),"East Asia, South Asia & Pacific"
South Asia Commons 17th-21st cent,"East Asia, South Asia & Pacific"
Life  (Magazine Archive) 1883-2020,"East Asia, South Asia & Pacific"
British Library Newspapers 18th-20th cent.,"East Asia, South Asia & Pacific"
Political Extremism and Radicalism 1776-2017,"East Asia, South Asia & Pacific"
Trove: Digitised Australian Historical Newspapers and More [open access] 1803-2023,"East Asia, South Asia & Pacific"
PapersPast (New Zealand) [open access] 1839-1989,"East Asia, South Asia & Pacific"
"Economist Intelligence Unit Country Reports Archive, 1952-1995","East Asia, South Asia & Pacific"
ProQuest Dissertations & Theses Global‎  1606-2025,"East Asia, South Asia & Pacific"
HathiTrust Digital Library 19th-20th cent.,"East Asia, South Asia & Pacific"
Digital Library of the Caribbean  [open access] 1555-2024,"East Asia, South Asia & Pacific"
"Age of Exploration, 1410-1920",World
America in World War II:  Oral Histories and Personal Accounts,World
Amnesty International Archives 1961-1991,World
"Apartheid South Africa, 1948 - 1994",World
"Church Missionary Society Periodicals, 1804-2009",World
"Empire Online, late 15th-early 21st cent",World
"Ethnomusicology: Global Field Recordings, 1950-1980",World
"Everyday Life and Women In America, c1800-1920",World
First World War,World
"Food and Drink in History, 1514-2010",World
"Gender: Identity and Social Change, 19th-21st cent ",World
"Global Commodities: Trade, Exploration and Cultural Exchange, 18th-20th cent",World
"Leisure, Travel & Mass Culture: The History of Tourism, 1850-1980",World
"Medieval Travel Writing, 13th-16th cent",World
"Migration to New Worlds, 1800-1980",World
The Olympic Movement 1896-1992,World
Service Newspapers of World War Two,World
"Sex & Sexuality, late 19th cent-c. 2020",World
"Shakespeare in Performance: The Folger Shakespeare Library Prompt Books, 1670S-1970s",World
"Slavery, Abolition and Social Justice, 1490-2007",World
"Socialism on Film, early 20th-1980",World
"Travel Writing, Spectacle and World History",World
"Women in the [UK] National Archives, 1903-1962",World
Women's Voices and Life Writing 1600-1968,World
"World's Fairs: A Global History of Expositions, 1851-2015",World
Ancestry Library Edition,World
Newspapers.com World Edition 1690-2025,World
LLMC-Digital 1792-2025,World
Forbes (Magazine Archive) 1917-2000,World
National Review  (Magazine Archive) 1955-2020,World
Life  (Magazine Archive) 1883-2020,World
Architectural Digest  (Magazine Archive) 1922-2011,World
Europeana portal [open access] 1680-1989,World
Europeana: Newspapers [open access] 1680-1989,World
[London] Sunday Times Historical Archive 1822-2021,World
[London] Times Digital Archive 1822-2016,World
Archives of Sexuality and Gender 1700-2021,World
Associated Press Collections Online 1840-2013,World
Eighteenth Century Collections Online,World
Financial Times Historical Archive 1888-2021,World
History of Disabilities 1648-2000,World
"Illustrated London News Historical Archive, 1842-2003",World
Making of the Modern World 1468-1993,World
Nineteenth Century Collections Online 1479-2003,World
Nineteenth Century U.S. Newspapers 1800-1899,World
Seventeenth and Eighteenth Century Burney Newspapers Collection 1604-1804,World
Seventeenth and Eighteenth Century Nichols Newspapers Collection 1672-1738,World
Smithsonian Collections Online 1742-2010,World
The Economist Historical Archive 1843-2020,World
Loeb Classical Library 800 B.C.E.-1000 C.E.,World
Air and Space Law 1822-2016,World
COVID-19: Pandemics Past and Present 1800-2021,World
HeinOnline Legal Special Collections +,World
"Slavery in America and the World: History, Culture & Law 1656-2025",World
US Treaties and Agreements Library 1686-2025,World
World Constitutions Illustrated 1479-2024,World
NewspaperARCHIVE 16th-21st cent,World
Audio Archive [Internet Archive]. [open access] 20th-21st cent.,World
Books [Internet Archive]. [open access],World
Image Archive [Internet Archive]. [open access],World
Moving Image Archive [Internet Archive]. [open access],World
Collections on JSTOR 19th-21st cent.,World
JSTOR Images,World
Chronicling America: Historic American Newspapers [open access] 1756-1963,World
LLMC Digital 16th-21st cent.,World
Trove: Digitised Australian Historical Newspapers and More [open access] 1803-2023,World
Medical Heritage Library: National Library of Medicine Digital Collections [open access] 15th-21st cent.,World
PapersPast (New Zealand) [open access] 1839-1989,World
Academic Video Online [AVON] 20th-21st cent,World
Black Studies Center 1893-2025,World
"British Periodicals, 1681-1939",World
Chicago Defender,World
Chicago Tribune,World
Christian Science Monitor,World
"Digital National Security Archive, 1945-",World
"Economist Intelligence Unit Country Reports Archive, 1952-1995",World
Guardian and The Observer [London] 1791-2003,World
Meet the Press 1947-2025,World
Oral History Online 20th-21st cent,World
Periodicals Archive Online (PAO) 1803-2005,World
ProQuest Dissertations & Theses Global‎  1606-2025,World
"Rolling Stone Archive, 1967-2021",World
Wall Street Journal 1889-2013,World
Washington Post 1877-2008,World
BBC Monitoring: Summary of World Broadcasts 1939-2001,World
"Richmond Times-Dispatch, 1903-2025",World
"Roanoke Times, 1889-2025",World
"Virginian-Pilot, 1865-2003; 2018-",World
HathiTrust Digital Library 19th-20th cent.,World
HNDM: Hemeroteca Nacional Digital de México [National Digital Newspaper Library of Mexico]  [open access] 1917-2025,World
"Foreign Relations of the United States, 1861-1960  [open access]",World
PodcastRE  [open access] 21st cent,World
VT ImageBase,World
ImageBase from VT Libraries Special Collections and University Archives,World
